scope,pipeline,L,n_total_traces,n_correct,n_tier1,n_tier2,n_failed,n_retained,bin_status
easy,v6,1,9,0,0,0,0,0,insufficient
easy,v6,2,1106,0,0,0,0,0,insufficient
easy,v6,3,2846,2798,120,0,2678,120,ok
easy,v6,4,3904,3831,120,0,3711,120,ok
easy,v6,5,3623,3550,120,0,3430,120,ok
easy,v6,6,2578,2510,120,0,2390,120,ok
easy,v6,7,1670,1611,119,1,1491,120,ok
easy,v6,8,1119,1085,118,2,965,120,ok
easy,v6,9,612,584,119,1,464,120,ok
easy,v6,10,358,349,119,1,229,120,ok
easy,v6,11,227,211,109,1,101,110,ok
easy,v6,12,101,91,47,0,44,47,ok
easy,v6,13,57,55,0,0,55,0,insufficient
easy,v6,14,36,34,0,0,34,0,insufficient
easy,v6,15,12,10,0,0,10,0,insufficient
easy,v6,16,7,3,0,0,3,0,insufficient
easy,v6,17,7,7,0,0,7,0,insufficient
easy,v6,18,11,9,0,0,9,0,insufficient
easy,v6,19,6,5,0,0,5,0,insufficient
easy,v6,20,2,2,0,0,2,0,insufficient
easy,v6,22,3,3,0,0,3,0,insufficient
easy,v6,24,1,1,0,0,1,0,insufficient
easy,v6,25,2,1,0,0,1,0,insufficient
easy,v6,36,1,0,0,0,0,0,insufficient
easy,v6,37,1,1,0,0,1,0,insufficient
easy,v6,43,1,0,0,0,0,0,insufficient
medium,v6,2,58,0,0,0,0,0,insufficient
medium,v6,3,258,173,120,0,53,120,ok
medium,v6,4,488,342,120,0,222,120,ok
medium,v6,5,580,390,120,0,270,120,ok
medium,v6,6,535,363,120,0,243,120,ok
medium,v6,7,484,332,120,0,212,120,ok
medium,v6,8,326,209,118,2,89,120,ok
medium,v6,9,247,170,120,0,50,120,ok
medium,v6,10,151,109,68,0,41,68,ok
medium,v6,11,123,79,36,1,42,37,ok
medium,v6,12,48,29,0,0,29,0,insufficient
medium,v6,13,32,22,0,0,22,0,insufficient
medium,v6,14,21,13,0,0,13,0,insufficient
medium,v6,15,14,11,0,0,11,0,insufficient
medium,v6,16,14,8,0,0,8,0,insufficient
medium,v6,17,7,5,0,0,5,0,insufficient
medium,v6,18,5,5,0,0,5,0,insufficient
medium,v6,19,4,2,0,0,2,0,insufficient
medium,v6,20,3,1,0,0,1,0,insufficient
medium,v6,21,2,2,0,0,2,0,insufficient
medium,v6,22,1,0,0,0,0,0,insufficient
medium,v6,24,3,2,0,0,2,0,insufficient
medium,v6,26,1,0,0,0,0,0,insufficient
medium,v6,27,1,1,0,0,1,0,insufficient
medium,v6,28,1,1,0,0,1,0,insufficient
medium,v6,46,2,0,0,0,0,0,insufficient
medium,v6,47,1,0,0,0,0,0,insufficient
medium,v6,50,1,0,0,0,0,0,insufficient
medium,v6,52,2,0,0,0,0,0,insufficient
medium,v6,54,1,0,0,0,0,0,insufficient
medium,v6,56,1,0,0,0,0,0,insufficient
medium,v6,57,1,0,0,0,0,0,insufficient
medium,v6,59,1,0,0,0,0,0,insufficient
medium,v6,65,1,0,0,0,0,0,insufficient
medium,v6,66,1,0,0,0,0,0,insufficient
medium,v6,71,1,0,0,0,0,0,insufficient
hard,v6,1,1,0,0,0,0,0,insufficient
hard,v6,2,37,0,0,0,0,0,insufficient
hard,v6,3,173,35,35,0,0,35,ok
hard,v6,4,294,74,73,0,1,73,ok
hard,v6,5,383,100,98,0,2,98,ok
hard,v6,6,377,89,78,1,10,79,ok
hard,v6,7,307,69,58,1,10,59,ok
hard,v6,8,211,58,50,0,8,50,ok
hard,v6,9,174,50,36,0,14,36,ok
hard,v6,10,132,37,0,0,37,0,insufficient
hard,v6,11,79,18,0,0,18,0,insufficient
hard,v6,12,64,11,0,0,11,0,insufficient
hard,v6,13,45,12,0,0,12,0,insufficient
hard,v6,14,26,3,0,0,3,0,insufficient
hard,v6,15,27,9,0,0,9,0,insufficient
hard,v6,16,18,2,0,0,2,0,insufficient
hard,v6,17,8,1,0,0,1,0,insufficient
hard,v6,18,8,3,0,0,3,0,insufficient
hard,v6,19,4,0,0,0,0,0,insufficient
hard,v6,20,5,2,0,0,2,0,insufficient
hard,v6,21,8,3,0,0,3,0,insufficient
hard,v6,22,6,1,0,0,1,0,insufficient
hard,v6,23,8,2,0,0,2,0,insufficient
hard,v6,24,2,0,0,0,0,0,insufficient
hard,v6,25,1,0,0,0,0,0,insufficient
hard,v6,26,2,0,0,0,0,0,insufficient
hard,v6,27,4,0,0,0,0,0,insufficient
hard,v6,28,1,0,0,0,0,0,insufficient
hard,v6,29,2,0,0,0,0,0,insufficient
hard,v6,31,1,0,0,0,0,0,insufficient
hard,v6,32,2,0,0,0,0,0,insufficient
hard,v6,33,3,0,0,0,0,0,insufficient
hard,v6,35,3,1,0,0,1,0,insufficient
hard,v6,36,2,1,0,0,1,0,insufficient
hard,v6,37,2,0,0,0,0,0,insufficient
hard,v6,38,2,1,0,0,1,0,insufficient
hard,v6,39,2,0,0,0,0,0,insufficient
hard,v6,41,4,0,0,0,0,0,insufficient
hard,v6,42,2,0,0,0,0,0,insufficient
hard,v6,43,2,2,0,0,2,0,insufficient
hard,v6,44,2,0,0,0,0,0,insufficient
hard,v6,45,1,1,0,0,1,0,insufficient
hard,v6,46,2,0,0,0,0,0,insufficient
hard,v6,47,2,0,0,0,0,0,insufficient
hard,v6,49,1,0,0,0,0,0,insufficient
hard,v6,50,1,0,0,0,0,0,insufficient
hard,v6,51,1,0,0,0,0,0,insufficient
hard,v6,52,1,0,0,0,0,0,insufficient
hard,v6,53,1,0,0,0,0,0,insufficient
hard,v6,54,1,0,0,0,0,0,insufficient
hard,v6,55,2,0,0,0,0,0,insufficient
hard,v6,56,1,0,0,0,0,0,insufficient
hard,v6,57,1,0,0,0,0,0,insufficient
hard,v6,59,1,0,0,0,0,0,insufficient
hard,v6,62,1,0,0,0,0,0,insufficient
hard,v6,63,1,0,0,0,0,0,insufficient
hard,v6,66,1,0,0,0,0,0,insufficient
hard,v6,67,2,0,0,0,0,0,insufficient
hard,v6,68,1,0,0,0,0,0,insufficient
hard,v6,71,1,0,0,0,0,0,insufficient
hard,v6,73,1,0,0,0,0,0,insufficient
hard,v6,75,1,0,0,0,0,0,insufficient
hard,v6,107,1,0,0,0,0,0,insufficient
